C:\nitrologic\romulon>rpc
rpccoms 0.3.2 looking for "USB\VID_2E8A"
 HWND:722580
[RPC] echoing COM6 handle:0x138 path:USB\VID_2E8A&PID_000A&MI_00\8&D547ADD&0&0000
[RPC] ignoring {port:COM1,path:ACPI\PNP0501\0,info:Communications Port (COM1)}
[thread] starting reader for COM6
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 fef3"},"id":266467}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266468}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266469}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266470}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266471}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266472}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266473}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266474}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266475}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266476}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266477}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266478}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266479}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266480}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266481}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266482}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266483}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266484}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266485}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266486}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266487}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266488}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266489}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266490}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266491}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266492}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266493}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266494}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266495}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266496}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266497}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266498}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266499}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266500}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266501}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266502}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266503}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266504}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266505}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266506}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266507}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266508}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266509}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266510}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266511}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266512}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266513}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266514}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266515}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266516}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266517}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266518}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266519}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266520}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266521}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266522}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266523}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266524}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 f808"},"id":266525}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266526}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266527}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266528}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266529}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266530}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266531}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266532}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266533}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266534}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266535}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266536}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266537}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266538}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266539}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266540}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266541}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266542}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266543}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266544}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266545}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266546}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266547}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266548}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266549}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266550}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266551}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266552}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266553}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266554}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266555}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266556}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266557}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266558}
